session,ws,y
1,141.7555662659384,26.122223
2,87.39160811676692,.37777779
3,140.8546871438671,14.72963
4,80.73773274822315,2.1296296
5,133.7343912616079,14.659259
6,87.42144656400751,1.0351852
7,77.00356280553454,.9666667
8,133.8501556185693,13.448149
9,139.8349768900384,23.011112
10,134.1471887757521,15.093333
11,84.25248080608247,3.4814816
12,76.07783651143352,1.2703704
13,72.73183333479825,1.7485186
14,69.69491746541915,2.2185185
15,140.4324515727831,33.459259
16,133.9352424887129,7.8372593
17,112.0065849046382,4.522222
18,73.56700124486065,1.1592593
19,133.5080558140713,29.288889
20,109.8225465164869,6.4925928
21,134.2196016908132,9.4537039
22,142.8493499384685,30.9
23,137.1522826463706,8.4703703
24,68.66525329725665,1.6796297
25,134.068601136812,12.277778
26,80.0374668797451,2.9518518
27,73.00511200656183,1.1148149
28,89.51562644951809,.59629631
29,145.1941866236989,18.981482
30,82.77040110306761,2.3444443
