session,ws,y
1,141.7555670639557,.27777779
2,87.39160855390672,.13513513
3,140.8546885070234,.3888889
4,80.7377324117458,.13157895
5,133.7343908538684,.43243244
6,87.42144705548742,.23684211
7,77.00356285170099,.090909094
8,133.8501565080747,.31818181
9,139.8349766765771,.79166669
10,134.1471881010345,.55000001
11,84.2524804166801,.13043478
12,76.07783589244904,.07692308
13,72.73183380590824,.14285715
14,69.69491692936384,.079999998
15,140.4324507104338,.82352942
16,133.9352421626175,.31578946
17,112.006584590954,.2
18,73.56700128402576,0
19,133.5080561626181,.51428574
20,109.8225470841363,.24324325
21,134.219602535063,.45454547
22,142.8493499525475,.84848487
23,137.1522826723432,.5151515
24,68.66525312018275,0
25,134.0686020043791,.3548387
26,80.03746729578064,.14705883
27,73.0051118926912,.22580644
28,89.51562581535393,.16666667
29,145.1941852924757,.86486489
30,82.77040106508025,.0625
