session,ws,y
1,141.7555670639557,.92592591
2,87.39160855390672,.33333334
3,140.8546885070234,.85185188
4,80.7377324117458,.63999999
5,133.7343908538684,1
6,87.42144705548742,.37037036
7,77.00356285170099,.55555558
8,133.8501565080747,.92592591
9,139.8349766765771,1
10,134.1471881010345,.8888889
11,84.2524804166801,.62962961
12,76.07783589244904,.48148149
13,72.73183380590824,.76923078
14,69.69491692936384,.4074074
15,140.4324507104338,.96153843
16,133.9352421626175,.85185188
17,112.006584590954,.85185188
18,73.56700128402576,.33333334
19,133.5080561626181,.92592591
20,109.8225470841363,.8888889
21,134.219602535063,.85185188
22,142.8493499525475,1
23,137.1522826723432,.8888889
24,68.66525312018275,.2962963
25,134.0686020043791,.8888889
26,80.03746729578064,.51851851
27,73.0051118926912,.22222222
28,89.51562581535393,.4074074
29,145.1941852924757,1
30,82.77040106508025,.4074074
