grid,fit_need,fit_sev
70,48.05024383244295,7.838019080436172
71,48.57542677114017,8.156915350356911
72,49.15352879707874,8.520076821651072
73,49.65814651561271,8.833844186137719
74,50.10887461362731,9.111592238471271
75,50.07252551149015,9.133728719475108
76,50.06874477915665,9.16685916797155
77,49.97294646849687,9.139711001333307
78,49.90540880411727,9.123952745270799
79,49.87586845305959,9.126550662193917
80,49.88329583377401,9.147782935522894
81,49.93013369577255,9.189712841987003
82,50.02304961069546,9.256710463730782
83,49.7153471146316,9.147373704347213
84,49.15931606680717,8.979139932519738
85,48.49832416706865,8.787952265594589
86,47.70160405518732,8.564038086096083
87,47.45978849021875,8.43199288328235
88,46.95197134374644,8.183457815251115
89,46.3385522316723,7.885145270481781
90,45.58408452444451,7.505862506430759
91,44.72986141785995,7.013250015572138
92,43.66926601974529,6.355013715564816
93,42.14294684220102,5.407875056607851
94,40.15332167043025,4.29973907956091
95,39.46820778421692,3.849526272216182
96,38.88795154939655,3.376603382437756
97,41.51650446479432,5.135187902934956
98,47.31166235324482,9.030612169673606
99,56.34358292728702,14.63280255716811
100,67.9972575706599,21.41137932744644
101,79.26199632557049,27.97443209687058
102,83.68698949006267,30.47614335643265
103,87.4071645604771,32.59185272099176
104,87.34611904891253,32.4087162491733
105,87.29958929207064,32.26912702657188
106,87.26220968488828,32.15698824352415
107,87.23081805328572,32.06281338104923
108,87.20339333020988,31.98053924006818
109,87.17854153090956,31.90598386776377
110,87.15522097495473,31.83602222391876
111,87.13257931470513,31.76809726648986
112,87.10984302338184,31.69988841593808
113,87.08622698000774,31.6290403101395
114,87.06084107754306,31.55288262889203
115,87.03256942290271,31.46806769408976
116,86.99988469147861,31.37001353348174
117,86.96052535966643,31.25193557858417
118,86.91087500771384,31.10298457386455
119,86.84463984059072,30.90427914071494
120,86.74965883414735,30.61933621921272
121,88.26421044254353,39.70422089679609
122,89.27973850591617,47.46960176349324
123,89.823842167745,51.63170726515828
124,90.13026236175003,53.6938489900995
125,90.30395366623215,54.81821213159928
126,90.33634327377861,55.09592283108485
127,90.51000909848737,55.52197698866765
128,90.81974539301851,56.65139824654286
129,91.01785839052091,57.39849413059779
130,91.23226205579044,58.13910127586686
131,91.4326772045163,58.83354663455368
132,91.60880198819834,59.40100544823206
133,91.8132222202246,59.94104728713879
134,91.98364897240326,60.39284849247151
135,92.13156433227374,60.78656840326964
136,92.26485025723662,61.14298710650967
137,92.38938748291095,61.47770072160521
138,92.51000512977372,61.8036251743173
139,92.63113482385542,62.13273790160503
140,92.75736708973379,62.47758196163061
141,92.89406246046539,62.85294475192588
142,93.0481999837986,63.27821559670996
143,93.22977782318091,63.78130067786153
144,93.45443682900179,64.40597543024246
145,93.74895820903437,65.22730688036472
146,94.16432142088891,66.3882972974162
147,94.80900123284287,68.22207586659657
148,95.36346194703155,69.75066129680604
149,95.52835344756508,70.11660272472812
150,95.7659364068266,70.64654864995389
