b,ll,ul,bin
-2.279605832864622,-5.704906045761291,1.145694380032048,1
-2.822108326903301,-7.150805172244053,1.506588518437451,2
-10.37418791316498,-12.6101487290639,-8.138227097266061,3
-7.181798561155617,-10.79936453305491,-3.564232589256319,4
-5.36189986273574,-9.453791697089549,-1.27000802838193,5
