session,ws,y
1,141.7555670639557,.99532109
2,87.39160855390672,0
3,140.8546885070234,1.3442292
4,80.7377324117458,.93913043
5,133.7343908538684,1.2278929
6,87.42144705548742,1.4490161
7,77.00356285170099,1.5517241
8,133.8501565080747,1.3012943
9,139.8349766765771,1.3254466
10,134.1471881010345,1.9876325
11,84.2524804166801,1.4361702
12,76.07783589244904,.39358601
13,72.73183380590824,2.0016944
14,69.69491692936384,0
15,140.4324507104338,.7621209
16,133.9352421626175,1.9139344
17,112.006584590954,1.3267814
18,73.56700128402576,0
19,133.5080561626181,1.2632776
20,109.8225470841363,1.84826
21,134.219602535063,1.0048971
22,142.8493499525475,1.1423948
23,137.1522826723432,1.4757324
24,68.66525312018275,.59536934
25,134.0686020043791,.93665159
26,80.03746729578064,.23713927
27,73.0051118926912,1.7940198
28,89.51562581535393,1.0062112
29,145.1941852924757,1.3697561
30,82.77040106508025,.6398105
