gx,gy
68.66525390896659,.852014246198767
69.04982142649835,.8521649909211448
69.43438894403013,.8519749617894472
69.8189564615619,.8505178488365995
70.20352397909366,.8492343138092741
70.58809149662544,.8481001012755236
70.9726590141572,.8486259621854482
71.35722653168898,.8517978737267879
71.74179404922074,.8547501877393022
72.12636156675251,.8575189731024345
72.51092908428429,.860134472461546
72.89549660181605,.8626223909391464
73.28006411934781,.8650048808763662
73.66463163687959,.8673013068208436
74.04919915441135,.8689040597245292
74.43376667194312,.8693396374414427
74.8183341894749,.8698026214311007
75.20290170700666,.8702944948528407
75.58746922453842,.8708170103519923
75.9720367420702,.8713722054485011
76.35660425960197,.8724641520687751
76.74117177713373,.873801973204699
77.12573929466551,.8751383888885302
77.51030681219727,.8764822287163604
77.89487432972905,.8778420890968741
78.27944184726081,.8792265293409268
78.66400936479258,.8806442581558316
79.04857688232435,.8821043194364707
79.43314439985612,.8836162858480484
79.81771191738788,.8851904689802064
80.20227943491966,.8868381558266265
80.58684695245142,.8885718831022857
80.97141446998319,.8904057636417004
81.35598198751497,.8923558831433869
81.74054950504673,.8944407913379615
82.12511702257851,.8964817636419666
82.50968454011027,.8970553335450194
82.89425205764203,.8976860312047805
83.2788195751738,.895943580771785
83.66338709270558,.8908517814798098
84.04795461023734,.8854278986590697
84.43252212776912,.8796147725958082
84.81708964530088,.8733447675962491
85.20165716283265,.8665369035208913
85.58622468036442,.8590930476758168
85.97079219789619,.8508927778528843
86.35535971542795,.8466189962983328
86.73992723295973,.8524858196703748
87.12449475049149,.8576510259355222
87.50906226802326,.8586311158077041
87.89362978555504,.8596825304352728
88.2781973030868,.8608186540789114
88.66276482061858,.8620557374757686
89.04733233815034,.863413776960824
89.4318998556821,.8649177284289854
89.81646737321387,.8624828762766774
90.20103489074565,.8589324303984739
90.58560240827741,.8583012380693299
90.97016992580919,.8622295975036159
91.35473744334095,.8665844003926714
91.73930496087272,.8714535188923499
92.12387247840449,.8769493194774942
92.50843999593626,.8832179822461124
92.89300751346804,.8904534068190606
93.2775750309998,.8989185764698504
93.66214254853156,.9027800903072652
94.04671006606333,.901686733421474
94.4312775835951,.9009355614588034
94.81584510112687,.9002882781506161
95.20041261865865,.8995321671734923
95.58498013619041,.8986344284077802
95.96954765372217,.8975478623771229
96.35411517125394,.8930432571090064
96.73868268878572,.9076338230674813
97.12325020631748,.9269681446419386
97.50781772384926,.9478861827954282
97.89238524138102,.9808621782789232
98.27695275891278,1.024323538643585
98.66152027644456,1.074317982299635
99.04608779397633,1.136296018607918
99.4306553115081,1.201846168399991
99.81522282903987,1.272543259806974
100.1997903465716,1.350398934120119
100.5843578641034,1.438094133500221
100.9689253816352,1.505771709436073
101.3534928991669,1.530290893089392
101.7380604166987,1.554111371265912
102.1226279342305,1.577564384974184
102.5071954517622,1.600945108579235
102.891762969294,1.62452738930321
103.2763304868258,1.623628421669419
103.6608980043576,1.620254315332308
104.0454655218893,1.617239802033197
104.4300330394211,1.614522480039303
104.8146005569529,1.612052985710922
105.1991680744846,1.609791703631409
105.5837355920164,1.607706418952672
105.9683031095482,1.605770610664693
106.3528706270799,1.603962189667252
106.7374381446117,1.602262551095671
107.1220056621435,1.600655852224406
107.5065731796752,1.599128454588383
107.891140697207,1.597668487128973
108.2757082147388,1.596265499464576
108.6602757322705,1.594910182832864
109.0448432498023,1.593594142134372
109.4294107673341,1.592309706649061
109.8139782848659,1.591049769937306
110.1985458023976,1.589807651530522
110.5831133199294,1.58857697450263
110.9676808374612,1.58735155405102
111.3522483549929,1.586125292911101
111.7368158725247,1.584892079849149
112.1213833900565,1.583645687665435
112.5059509075882,1.582379667109833
112.89051842512,1.581087232863135
113.2750859426518,1.579761137245771
113.6596534601835,1.57839352653391
114.0442209777153,1.576975773614201
114.4287884952471,1.575498279073109
114.8133560127789,1.573950230517384
115.1979235303106,1.572319306692172
115.5824910478424,1.57059130840424
115.9670585653741,1.568749691764487
116.3516260829059,1.566774969907911
116.7361936004377,1.564643935677604
117.1207611179695,1.562328637462645
117.5053286355012,1.55979500970459
117.889896153033,1.55700101229787
118.2744636705648,1.55389405858151
118.6590311880965,1.550407391241734
119.0435987056283,1.54645486558778
119.4281662231601,1.541923257416182
119.8127337406918,1.536660605642004
120.1973012582236,1.526446973587542
120.5818687757554,1.494282484636208
120.9664362932872,1.460330627575026
121.3510038108189,1.432462339234463
121.7355713283507,1.413048300496985
122.1201388458825,1.398428100987708
122.5047063634142,1.386762003845575
122.889273880946,1.377021600289739
123.2738413984778,1.369451285168914
123.6584089160095,1.370885026070676
124.0429764335413,1.373466433497878
124.4275439510731,1.375924262187559
124.8121114686048,1.378010120495998
125.1966789861366,1.379818188569085
125.5812465036684,1.38112959911543
125.9658140212001,1.381891308790523
126.3503815387319,1.382549933636822
126.7349490562637,1.382631449095699
127.1195165737955,1.380948187200017
127.5040840913272,1.375273034045015
127.888651608859,1.370169132389324
128.2732191263908,1.365756018419316
128.6577866439225,1.359529239508108
129.0423541614543,1.35364241743453
129.426921678986,1.348456940955628
129.8114891965178,1.342515684443712
130.1960567140496,1.337230877648601
130.5806242315814,1.3325031379845
130.9651917491131,1.328236811853046
131.3497592666449,1.324355978243493
131.7343267841767,1.320799519305854
132.1188943017085,1.317767677787837
132.5034618192402,1.315007874332053
132.888029336772,1.312451272295185
133.2725968543037,1.310066781574333
133.6571643718355,1.307828342812215
134.0417318893673,1.305713852663948
134.4262994068991,1.303704339586651
134.8108669244308,1.30178332244316
135.1954344419626,1.299936303939152
135.5800019594944,1.298150364314252
135.9645694770261,1.296413829936055
136.3491369945579,1.294715997870532
136.7337045120897,1.293046902005269
137.1182720296214,1.29139710945976
137.5028395471532,1.289757538208941
137.887407064685,1.288119288321633
138.2719745822167,1.286473480134665
138.6565420997485,1.284811093141452
139.0411096172803,1.283122799419095
139.425677134812,1.281398785053842
139.8102446523438,1.279628552213999
140.1948121698756,1.277800693177435
140.5793796874074,1.275902625603823
140.9639472049391,1.273920275419262
141.3485147224709,1.271837689510701
141.7330822400027,1.269636554476181
142.1176497575344,1.267295589141835
142.5022172750662,1.264789766188262
142.886784792598,1.26208930006946
143.2713523101297,1.259158311323364
143.6559198276615,1.255953036250007
144.0404873451933,1.252419387225494
144.4250548627251,1.248489567981993
144.8096223802568,1.2440772841881
145.1941898977886,1.23907081560466
